pair_id,target_char,comparison_type,content_path,left_true_group,right_true_group,left_output_path,right_output_path
P0001,騫,A_vs_C,callirag/cases/content/0020.jpg,A,C,callirag/outputs/layer2/generation_outputs/騫_A.png,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png
P0002,騫,B_seed0_vs_C,callirag/cases/content/0020.jpg,C,B,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png,callirag/outputs/layer2/generation_outputs/騫_B_seed0.png
P0003,騫,C_rank1_vs_D_rank3,callirag/cases/content/0020.jpg,D,C,callirag/outputs/layer2/generation_outputs/騫_D_rank3.png,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png
P0004,騫,C_rank1_vs_D_rank5,callirag/cases/content/0020.jpg,D,C,callirag/outputs/layer2/generation_outputs/騫_D_rank5.png,callirag/outputs/layer2/generation_outputs/騫_C_rank1.png
P0005,癱,A_vs_C,callirag/cases/content/0021.jpg,A,C,callirag/outputs/layer2/generation_outputs/癱_A.png,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png
P0006,癱,B_seed1_vs_C,callirag/cases/content/0021.jpg,B,C,callirag/outputs/layer2/generation_outputs/癱_B_seed1.png,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png
P0007,癱,C_rank1_vs_D_rank3,callirag/cases/content/0021.jpg,D,C,callirag/outputs/layer2/generation_outputs/癱_D_rank3.png,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png
P0008,癱,C_rank1_vs_D_rank5,callirag/cases/content/0021.jpg,D,C,callirag/outputs/layer2/generation_outputs/癱_D_rank5.png,callirag/outputs/layer2/generation_outputs/癱_C_rank1.png
P0009,霆,A_vs_C,callirag/cases/content/0023.jpg,C,A,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png,callirag/outputs/layer2/generation_outputs/霆_A.png
P0010,霆,B_seed2_vs_C,callirag/cases/content/0023.jpg,C,B,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png,callirag/outputs/layer2/generation_outputs/霆_B_seed2.png
P0011,霆,C_rank1_vs_D_rank3,callirag/cases/content/0023.jpg,D,C,callirag/outputs/layer2/generation_outputs/霆_D_rank3.png,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png
P0012,霆,C_rank1_vs_D_rank5,callirag/cases/content/0023.jpg,D,C,callirag/outputs/layer2/generation_outputs/霆_D_rank5.png,callirag/outputs/layer2/generation_outputs/霆_C_rank1.png
P0013,鳞,A_vs_C,callirag/cases/content/0053.jpg,C,A,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png,callirag/outputs/layer2/generation_outputs/鳞_A.png
P0014,鳞,B_seed3_vs_C,callirag/cases/content/0053.jpg,C,B,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png,callirag/outputs/layer2/generation_outputs/鳞_B_seed3.png
P0015,鳞,C_rank1_vs_D_rank3,callirag/cases/content/0053.jpg,C,D,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png,callirag/outputs/layer2/generation_outputs/鳞_D_rank3.png
P0016,鳞,C_rank1_vs_D_rank5,callirag/cases/content/0053.jpg,D,C,callirag/outputs/layer2/generation_outputs/鳞_D_rank5.png,callirag/outputs/layer2/generation_outputs/鳞_C_rank1.png
