target_char,retrieval_type,rank,bank_id,retrieved_char,wxz_path,score,layout_match,shared_components,shared_top_level_components,stroke_count_gap,reason
騫,structural,1,wxz_2995,賽,/d/htt/data/image/train/wxz/2995.jpg,13.5,True,井|八|宀,𡨄,3,"shared_non_trivial=['井', '八', '宀']; shared_top_level=['𡨄']; layout_match=True; stroke_gap=3"
騫,structural,2,wxz_5891,寒,/d/htt/data/image/test/wxz/5891.jpg,13.0,True,井|八|宀,𡨄,8,"shared_non_trivial=['井', '八', '宀']; shared_top_level=['𡨄']; layout_match=True; stroke_gap=8"
騫,structural,3,wxz_0751,搴,/d/htt/data/image/train/wxz/0751.jpg,13.0,True,井|八|宀,𡨄,6,"shared_non_trivial=['井', '八', '宀']; shared_top_level=['𡨄']; layout_match=True; stroke_gap=6"
騫,structural,4,wxz_4564,塞,/d/htt/data/image/train/wxz/4564.jpg,13.0,True,井|八|宀,𡨄,7,"shared_non_trivial=['井', '八', '宀']; shared_top_level=['𡨄']; layout_match=True; stroke_gap=7"
騫,structural,5,wxz_4590,寨,/d/htt/data/image/train/wxz/4590.jpg,13.0,True,井|八|宀,𡨄,6,"shared_non_trivial=['井', '八', '宀']; shared_top_level=['𡨄']; layout_match=True; stroke_gap=6"
騫,random,1,wxz_6536,警,/d/htt/data/image/test/wxz/6536.jpg,,True,,,1,uniform_sample_seed=2026
騫,random,2,wxz_1575,娶,/d/htt/data/image/train/wxz/1575.jpg,,True,,,9,uniform_sample_seed=2026
騫,random,3,wxz_3325,殉,/d/htt/data/image/train/wxz/3325.jpg,,False,,,10,uniform_sample_seed=2026
騫,random,4,wxz_3401,沱,/d/htt/data/image/train/wxz/3401.jpg,,False,宀,,12,uniform_sample_seed=2026
騫,random,5,wxz_4744,欧,/d/htt/data/image/train/wxz/4744.jpg,,False,,,12,uniform_sample_seed=2026
癱,structural,1,wxz_3626,灘,/d/htt/data/image/train/wxz/3626.jpg,18.0,False,二|人|口|廿|隹,難,2,"shared_non_trivial=['二', '人', '口', '廿', '隹']; shared_top_level=['難']; layout_match=False; stroke_gap=2"
癱,structural,2,wxz_5837,儺,/d/htt/data/image/test/wxz/5837.jpg,17.5,False,二|人|口|廿|隹,難,3,"shared_non_trivial=['二', '人', '口', '廿', '隹']; shared_top_level=['難']; layout_match=False; stroke_gap=3"
癱,structural,3,wxz_6516,難,/d/htt/data/image/test/wxz/6516.jpg,15.5,False,二|人|口|廿|隹,,5,"shared_non_trivial=['二', '人', '口', '廿', '隹']; shared_top_level=[]; layout_match=False; stroke_gap=5"
癱,structural,4,wxz_0980,痴,/d/htt/data/image/train/wxz/0980.jpg,13.0,True,人|口|疒,疒,11,"shared_non_trivial=['人', '口', '疒']; shared_top_level=['疒']; layout_match=True; stroke_gap=11"
癱,structural,5,wxz_1879,漢,/d/htt/data/image/train/wxz/1879.jpg,12.0,False,二|人|口|廿,,10,"shared_non_trivial=['二', '人', '口', '廿']; shared_top_level=[]; layout_match=False; stroke_gap=10"
癱,random,1,wxz_6378,岬,/d/htt/data/image/test/wxz/6378.jpg,,False,,,16,uniform_sample_seed=2026
癱,random,2,wxz_0767,江,/d/htt/data/image/train/wxz/0767.jpg,,False,,,18,uniform_sample_seed=2026
癱,random,3,wxz_4295,願,/d/htt/data/image/train/wxz/4295.jpg,,False,,,5,uniform_sample_seed=2026
癱,random,4,wxz_4490,住,/d/htt/data/image/train/wxz/4490.jpg,,False,,,17,uniform_sample_seed=2026
癱,random,5,wxz_3850,淼,/d/htt/data/image/train/wxz/3850.jpg,,False,,,12,uniform_sample_seed=2026
霆,structural,1,wxz_5623,零,/d/htt/data/image/test/wxz/5623.jpg,8.0,True,雨,雨,1,shared_non_trivial=['雨']; shared_top_level=['雨']; layout_match=True; stroke_gap=1
霆,structural,2,wxz_6027,霉,/d/htt/data/image/test/wxz/6027.jpg,8.0,True,雨,雨,1,shared_non_trivial=['雨']; shared_top_level=['雨']; layout_match=True; stroke_gap=1
霆,structural,3,wxz_6222,霏,/d/htt/data/image/test/wxz/6222.jpg,8.0,True,雨,雨,2,shared_non_trivial=['雨']; shared_top_level=['雨']; layout_match=True; stroke_gap=2
霆,structural,4,wxz_1034,雷,/d/htt/data/image/train/wxz/1034.jpg,8.0,True,雨,雨,1,shared_non_trivial=['雨']; shared_top_level=['雨']; layout_match=True; stroke_gap=1
霆,structural,5,wxz_1107,霖,/d/htt/data/image/train/wxz/1107.jpg,8.0,True,雨,雨,2,shared_non_trivial=['雨']; shared_top_level=['雨']; layout_match=True; stroke_gap=2
霆,random,1,wxz_2565,舰,/d/htt/data/image/train/wxz/2565.jpg,,False,,,4,uniform_sample_seed=2026
霆,random,2,wxz_4014,盛,/d/htt/data/image/train/wxz/4014.jpg,,True,,,3,uniform_sample_seed=2026
霆,random,3,wxz_3763,孫,/d/htt/data/image/train/wxz/3763.jpg,,False,,,4,uniform_sample_seed=2026
霆,random,4,wxz_3212,填,/d/htt/data/image/train/wxz/3212.jpg,,False,,,1,uniform_sample_seed=2026
霆,random,5,wxz_4150,硫,/d/htt/data/image/train/wxz/4150.jpg,,False,,,2,uniform_sample_seed=2026
鳞,structural,1,wxz_0915,憐,/d/htt/data/image/train/wxz/0915.jpg,10.5,True,㐄|米,粦,5,"shared_non_trivial=['㐄', '米']; shared_top_level=['粦']; layout_match=True; stroke_gap=5"
鳞,structural,2,wxz_2475,麟,/d/htt/data/image/train/wxz/2475.jpg,10.5,True,㐄|米,粦,3,"shared_non_trivial=['㐄', '米']; shared_top_level=['粦']; layout_match=True; stroke_gap=3"
